OBJECTID_1,Site_Name,Designation_Type,Link_to_CA,Link_to_GMA,Traffic_Light_Colour_using_80__,Notes,Number_of_Marine_Components,Perc_in_Fav_or_Unfav_Recover,GEOGRAPHIC_LOCATION,Country,EST_DATE,STATUS,SITE_CODE,LEAD,Features,Feature_Designation_Dates,Feature_Management_Approaches,Feature_Conditions,Feature_Favourable,Feature_Unfavourable_Recovering,Feature_Unfavourable_No_Change,Feature_Unfavourable_Declining,Feature_Partially_Destroyed,Feature_Destroyed,Feature_Not_Assessed
1,Loch Sunart to the Sound of Jura ,Scottish NCMPA,https://sitelink.nature.scot/site/10418,,Recovered/Recovering,,2,,MARINE,Scotland,,Current,,SNH,Flapper skate (Dipturus intermedius); Quaternary of Scotland,07/08/2014; 07/08/2014,Conserve; Conserve,N; N,-; -,-; -,-; -,-; -,-; -,-; -,-; -
2,Wester Ross ,Scottish NCMPA,https://sitelink.nature.scot/site/10421,,Recovered/Recovering,"*Note two features with GMAs of recover, but because there's a large number of features this still makes a overall score of recover following the 80% rule - bias towards MPAs with more features",11,,MARINE,Scotland,,Current,,SNH,Subtidal coarse sediment; Subtidal sand,29/01/2016; 29/01/2016,Recover to favourable condition; Recover to favourable condition,Y; Y,-; -,-; -,-; -,-; -,-; -,-; -,-; -
3,Mousa to Boddam ,Scottish NCMPA,https://sitelink.nature.scot/site/10410,,Recovered/Recovering,,2,0.5,MARINE,Scotland,,Current,,SNH,Marine Geomorphology of the Scottish shelf seabed; Sandeels (Ammidytes marinus/Ammodytes tobianus),07/08/2014; 07/08/2014,Conserve; Conserve,N; N,-; -,-; -,-; -,-; -,-; -,-; -,-; -
5,Shiant East Bank ,Scottish NCMPA,https://sitelink.nature.scot/site/10475,https://www.nature.scot/sites/default/files/2019-06/Shiant%20East%20Bank%20possible%20MPA%20-%20Conservation%20and%20Management%20Advice.pdf,Recovered/Recovering,,4,1,MARINE,Scotland,,Current,,SNH,Circalittoral sands and mixed sediment communities; Northern sea fan and sponge communities; Quaternary of Scotland; Shelf banks and mounds,17/12/2020; 17/12/2020; 17/12/2020; 17/12/2020,Conserve; Conserve; Conserve; Conserve,Y; Y; Y; Y,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -
6,Loch Sunart ,Scottish NCMPA,https://sitelink.nature.scot/site/10417,,Recovered/Recovering,,3,,MARINE,Scotland,,Current,,SNH,Lagoons,17/03/2005,-,Y,-,-,-,-,-,-,-
7,Clyde Sea Sill ,Scottish NCMPA,https://sitelink.nature.scot/site/10414,,Mixed_Picture,,4,0.75,MARINE,Scotland,,Current,,SNH,Black guillemot (Cepphus grylle); Fronts; Marine geomorphology of the Scottish shelf seabed; Circalittoral and offshore sand and coarse sediment communities,07/08/2014; 07/08/2014; 07/08/2014; 07/08/2014,Recover; Conserve; Conserve; Conserve,N; N; N; N,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -
8,Small Isle ,Scottish NCMPA,https://sitelink.nature.scot/site/10422,,Mixed_Picture,,10,,MARINE,Scotland,,Current,,SNH,,,,,,,,,,,
9,Sea of the Hebrides ,Scottish NCMPA,https://www.nature.scot/sites/default/files/2019-06/Sea%20of%20the%20Hebrides%20possible%20MPA%20-%20Conservation%20and%20Management%20Advice_0.pdf,https://sitelink.nature.scot/site/10474,Recovered/Recovering,,4,1,MARINE,Scotland,,Current,,SNH,"Black-throated diver (Gavia arctica), non-breeding; Eider (Somateria mollissima), non-breeding; Great northern diver (Gavia immer), non-breeding; Long-tailed duck (Clangula hyemalis), non-breeding; Red-breasted merganser (Mergus serrator), non-breeding; Red-throated diver (Gavia stellata), breeding; Slavonian grebe (Podiceps auritus), non-breeding",03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020,-; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -
10,"Lochs Duich, Long and Alsh ",Scottish NCMPA,https://sitelink.nature.scot/site/10416,,Recovered/Recovering,,2,,MARINE,Scotland,,Current,,SNH,Reefs,17/03/2005,-,Y,-,-,-,-,-,-,-
11,Loch Carron ,Scottish NCMPA,https://sitelink.nature.scot/site/10543,,Mixed_Picture,,2,,MARINE,Scotland,,Current,,SNH,Reefs,17/03/2005,-,Y,-,-,-,-,-,-,-
