Site_Code,Site_Name,Site_Status,Country,CP2 Region,Area_ha,Longitude,Latitude,Established_Date,Agency,WDPA_Code,source_file,mpa_type,load_timestamp,Pre-Designation Code,Non-marine interest features,cSAC Established Date,SCI Confirmation Date,SAC Designation Date
UKMCZ0076,Cape Bank,MCZ - Secretary of State,England inshore & England offshore,Western Channel and Celtic Sea,47415.9650871169,-5.9204033409,50.2166732049999,20-05-2019,JNCC and NE,555691671.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA020,Central Fladen,NCMPA,Scotland offshore,Northern North Sea,92500.0,-0.2402778,59.0425,23-07-2014,JNCC,555583051.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA021,East of Gannet and Montrose Fields,NCMPA,Scotland offshore,Northern North Sea,183900.0,1.2891667,57.2108333,23-07-2014,JNCC,555560481.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,40000.0,-6.65404603,50.4986753649,21-11-2013,JNCC,555583027.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0077,East of Start Point,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,11552.8498451382,-3.0945654682,50.4172685154999,20-05-2019,JNCC and NE,555691633.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,94499.43,-1.241758,55.684051,12-01-2016,JNCC and NE,555622023.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,527800.0,-3.0780556,60.8558333,23-07-2014,JNCC,555583053.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA018,Firth of Forth Banks Complex,NCMPA,Scotland inshore & Scotland offshore,Northern North Sea,213000.0,-1.6216667,56.455,23-07-2014,JNCC,555583049.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0046,Fulmar,MCZ - Secretary of State,England offshore,Northern North Sea,243531.84,2.176185,56.35048,12-01-2016,JNCC,555622024.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA023,Geikie Slide and Hebridean Slope,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,221500.0,-9.1711111,58.3705556,23-07-2014,JNCC,555583054.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0047,Greater Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,203960.97,-7.794021,50.301373,12-01-2016,JNCC,555622025.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA024,Hatton-Rockall Basin,NCMPA,Scotland offshore,Atlantic North-West Approaches,125600.0,-16.4016667,58.0591667,23-07-2014,JNCC,555583055.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
